Year,FB_BNK_CAPA_ZS,FM_LBL_BMNY_ZG,FM_LBL_BMNY_IR_ZS,BN_CAB_XOKA_GD_ZS,NE_EXP_GNFS_KD_ZG,DT_DOD_DECT_GN_ZS,BX_KLT_DINV_WD_GD_ZS,NY_GDP_MKTP_KD_ZG,NE_CON_GOVT_KD_ZG,NE_GDI_TOTL_KD_ZG,NE_IMP_GNFS_KD_ZG,FP_CPI_TOTL_ZG,TG_VAL_TOTL_GD_ZS,BN_KLT_PTXL_CD,GC_TAX_TOTL_GD_ZS,FI_RES_TOTL_MO
2012.0,6.6262,9.3607,3.4675,-3.7248,1.7536,31.1305,2.8226,2.9747,5.8389999999999995,1.7795,2.7919,3.7818,54.3877,-701937500.0,11.0096,4.1454
2013.0,6.9158,9.5466,3.4875,-4.2244,6.6627,33.7787,2.8722,3.6948,5.6448,-1.3862,4.2588,4.3434,51.9713,-712303220.0,11.1023,4.3023
2014.0,6.9447,7.8747,3.7906,-3.3003,6.9273,34.6352,2.4330000000000003,4.444,3.6364,-1.2916,3.3702,3.4184,50.2745,-749229040.0,10.7778,4.1361
2015.0,6.8632,9.09,3.9532,-1.2443,2.8377,33.5721,1.9351,4.0922,0.9431,1.3265,3.648,2.3887,45.5358,-33822720.0,10.3583,4.4866
2016.0,7.0538,6.3496,3.5838,0.9648,2.359,33.2359,1.2805,2.6778,-3.063,-4.0486,0.9424,4.4484,41.5525,-610431330.0,10.4215,5.3925
2017.0,6.9678,7.3033,3.0942,1.1961,1.4901,34.1527,1.3933,3.0799,2.0588,4.3103,2.8248,4.4245,40.9997,-803906050.0,10.6356,6.4102
2018.0,7.0822,9.6506,3.1,0.8501,-0.3114,32.6931,1.26,3.3221,6.7261,5.4497,3.927,3.7519,41.6181,18547090.0,10.5782,6.4036
2019.0,6.9375,8.7501,2.8032,2.3256,0.0801,35.2494,1.5182,3.8669,2.4728,8.0372,4.9108,3.7,40.3233,-1027034320.0,10.456,7.4122
2020.0,,18.0658,2.6415,5.4752,-4.4492,,,-1.5193,1.6049,-9.2484,-4.6033,3.2144,38.3624,-1212689340.0,,10.2513
2021.0,,,,,,,,,,,,,,,,
