indicator,related_indicator,similarity_score
1.1.1,1.2.1,0.4866745681921434
1.1.1,10.2.1,0.1963796102283767
1.1.1,2.c.1,0.19555602021615337
1.1.1,16.b.1,0.18423050934021912
1.1.1,10.3.1,0.18423050934021912
1.1.1,16.8.1,0.18372156560502514
1.1.1,8.9.1,0.18342527593075458
1.1.1,10.7.4,0.17999299270421404
1.1.1,16.1.2,0.17756345659366746
1.1.1,16.1.1,0.17209163523632295
1.1.1,3.2.2,0.16602327808063239
1.1.1,16.4.2,0.15473371025131438
1.1.1,7.1.1,0.15050724149356104
1.1.1,10.6.1,0.15025669096876554
1.1.1,17.19.2,0.13848664466511218
1.1.1,3.3.2,0.1345894778762184
1.1.1,11.1.1,0.12901919378753407
1.1.1,2.2.3,0.12738401127184512
1.1.1,11.6.2,0.12244552454739993
1.1.1,3.3.1,0.12125674128579657
1.1.1,9.1.1,0.11799600958600003
1.1.1,1.2.2,0.11657592400221345
1.1.1,16.1.4,0.11141186727451861
1.1.1,3.1.1,0.10420412876374299
1.1.1,10.c.1,0.10404445563200006
1.1.1,16.7.1,0.09912585645454926
1.1.1,1.b.1,0.09821795646881223
1.1.1,11.6.1,0.09426660517280562
1.1.1,9.c.1,0.09163888930210866
1.1.1,3.a.1,0.09149696879578596
1.1.1,10.a.1,0.08980829164642243
1.1.1,1.4.1,0.0885257837820187
1.1.1,4.4.1,0.08461186941762051
1.1.1,12.c.1,0.08459526122636955
1.1.1,11.5.1,0.08406007762046343
1.1.1,1.5.1,0.08406007762046343
1.1.1,13.1.1,0.08406007762046343
1.1.1,10.7.1,0.08241413166540033
1.1.1,14.6.1,0.08165794541372845
1.1.1,5.4.1,0.07932376987355369
1.1.1,5.c.1,0.07932376987355369
1.1.1,4.a.1,0.07932376987355369
1.1.1,3.4.2,0.0781610914984788
1.1.1,1.a.1,0.07681984276720737
1.1.1,17.8.1,0.07632738252589386
1.1.1,7.1.2,0.07564635658358401
1.1.1,6.3.1,0.07256434774646892
1.1.1,3.c.1,0.07165760297559808
1.1.1,8.1.1,0.07163633369365816
1.1.1,7.b.1,0.07148675224357695
1.1.1,12.a.1,0.07148675224357695
1.1.1,11.3.1,0.0692513471013871
1.1.1,1.a.2,0.06682779737897354
1.1.1,6.2.1,0.06648732426021106
1.1.1,14.c.1,0.06448261801509667
1.1.1,16.1.3,0.06360192480000823
