Year,VC_DSR_GDPLS,VC_DSR_LSGP,VC_DSR_AGLH,VC_DSR_HOLH,VC_DSR_CILN,VC_DSR_CHLN,VC_DSR_DDPA
2012.0,247532401.0,0.004905,,247532400.0,1.0,,
2013.0,6615000.0,0.000125,,6615000.0,,,
2014.0,119050800.0,0.002055,,119050800.0,,,
2015.0,89476419.00196,0.001428,46815601.50196,40840537.5,1820280.0,,
2016.0,8659143.0,0.000132,,8083425.0,575718.0,,
2017.0,153084727.5224,0.002152,2613727.5224,150471000.0,,,
2018.0,147355220.9939,0.002053,96770720.9939,50584500.0,,,
2019.0,34780815.52554,0.000452,34183251.52554,,597564.0,,
2020.0,920066206.49707,0.011941,118073432.61275,23102158.655270007,335575.15158,1470780.5365,777084259.54098
2021.0,,,,,,,
